,種類,題目,A,B,C,D,答案
16,ウルトラQ,ウルトラQの第19話「2020年の挑戦」で、人類に挑戦する知的生命体の名前は？,ケムール人,ペギラ,セミ人間,バルタン星人,A
17,ウルトラQ,ウルトラQの第22話「変身」に登場する、変身能力を持つ生物の名前は？,ルゴス,ガラモン,ゴーガ,バルンガ,A
18,ウルトラQ,ウルトラQのエピソード「南海の怒り」で、南海の島に現れる怪獣の名前は？,ゴメス,ペギラ,スダール,リトラ,C
19,ウルトラQ,ウルトラQの第9話「クモ男爵」で、巨大な蜘蛛に変身する男の名前は？,黒田,一ノ谷,万城目,鬼堂,D
20,ウルトラQ,ウルトラQの第5話「ペギラが来た！」で、ペギラが吐く冷気はどのくらいの温度ですか？,-50度,-100度,-200度,-300度,B
21,ウルトラQ,ウルトラQのエピソード「ゴーガの像」で、呪われた像が最初に見つかった場所は？,日本,インドネシア,メキシコ,エジプト,C
22,ウルトラQ,ウルトラQのエピソード「ガラモンの逆襲」で、ガラモンを操る装置は何と呼ばれている？,コントロールタワー,ガラダマ,エレクトロパルス,サイキックデバイス,B
23,ウルトラQ,ウルトラQの第8話「甘い蜜の恐怖」で、巨大化する原因となったのは何か？,放射能,宇宙からのウイルス,化学薬品,未知の植物の蜜,D
24,ウルトラQ,ウルトラQのエピソード「地底超特急西へ」で、地底を走る列車の名前は？,メトロポリタン号,スーパーエクスプレス,トンネル特急,ハイパールート,A
25,ウルトラQ,ウルトラQの第7話「SOS富士山」で、火山を襲う怪獣の名前は？,ガラモン,ペギラ,ゴメス,ラゴン,D
26,ウルトラQ,ウルトラQの第6話「育てよ！カメ」で、少年が育てていたカメは最終的に何になったか？,巨大化したカメ,怪獣ガメロン,地底人のペット,宇宙人に連れ去られる,B
27,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵が変身する場所はどこ？,洞窟,廃墟,邸宅の地下室,工場跡,C
28,ウルトラQ,ウルトラQの第13話「ガラモンの逆襲」で、ガラモンはどのようにして倒されたか？,電気ショック,爆破,水中に沈められる,自爆装置が作動,D
29,ウルトラQ,ウルトラQのエピソード「虹の卵」で、ゴーガを倒すために使われた武器は何か？,ミサイル,雷,水中爆弾,炎,B
30,ウルトラQ,ウルトラQの第14話「東京氷河期」で、東京を襲った現象は何か？,大洪水,巨大地震,氷河期,火山噴火,C
31,ウルトラQ,ウルトラQのエピソード「宇宙指令M774」で、宇宙から送られてきた指令の内容は？,地球侵略,平和協定,宇宙船の救助要請,宇宙人との友好関係,A
32,ウルトラQ,ウルトラQの第15話「カネゴンの繭」で、カネゴンが元に戻るためには何をする必要があったか？,お金を全て返す,繭に戻る,友達の助けを借りる,特定の呪文を唱える,B
33,ウルトラQ,ウルトラQの第11話「バルンガ」で、バルンガの弱点は何か？,水,強い光,超音波,電磁波,B
34,ウルトラQ,ウルトラQのエピソード「2020年の挑戦」で、ケムール人は何を目的として地球に来たのか？,人類を支配する,自分たちの星に戻るため,人間をエネルギー源にする,宇宙技術の調査,C
35,ウルトラQ,ウルトラQの第17話「宇宙船救助命令」で、宇宙船が不時着した場所は？,太平洋上,アルプス山脈,月の裏側,南極,D
36,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵が持っていた力は何か？,超音波,超能力,強力な毒,テレポーテーション,C
37,ウルトラQ,ウルトラQのエピソード「南海の怒り」で、スダールはどのようにして退治されたか？,火炎放射,爆発,雷撃,地震,B
38,ウルトラQ,ウルトラQの第25話「悪魔ッ子」で、サブロウが持つ奇妙な力とは？,時間を操る力,他人の心を読む力,自分以外の人々を操作する力,未来を予知する力,C
39,ウルトラQ,ウルトラQのエピソード「1/8計画」で、主人公たちはどのくらいの大きさになったか？,通常の1/2,通常の1/8,通常の1/16,通常の1/32,B
40,ウルトラQ,ウルトラQの第20話「海底原人ラゴン」で、ラゴンが住んでいる場所はどこ？,太平洋の底,湖の底,深海洞窟,沼地,C
41,ウルトラQ,ウルトラQのエピソード「海底原人ラゴン」で、ラゴンが求めていたものは何？,エネルギー,食料,仲間,子供,D
42,ウルトラQ,ウルトラQの第21話「宇宙指令M774」で、宇宙人の名前は？,ゼットン,M774星人,メトロン星人,ガボラ星人,B
43,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵が変身する動機は？,復讐,宇宙からの命令,呪い,科学実験の失敗,C
44,ウルトラQ,ウルトラQの第23話「南海の怒り」で、南海の島が直面している自然災害は？,台風,火山噴火,津波,地震,B
45,ウルトラQ,ウルトラQのエピソード「ゴメスを倒せ！」で、ゴメスの特徴は？,二足歩行の恐竜型,翼のあるドラゴン型,水中で生活する魚型,岩のような体を持つゴーレム型,A
46,ウルトラQ,ウルトラQの第16話「ガラモンの逆襲」で、ガラモンが都市を襲う理由は？,宇宙からの指令,人間の破壊行為に対する復讐,自然の異常,無差別な破壊行為,A
47,ウルトラQ,ウルトラQのエピソード「東京氷河期」で、東京が氷河期に突入した原因は？,地球の軌道がずれたため,宇宙線の影響,科学実験の失敗,氷の怪物の活動,D
48,ウルトラQ,ウルトラQの第4話「マンモスフラワー」で、巨大化した花が引き起こした現象は？,大洪水,異常気象,都市の破壊,大規模な停電,C
49,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵を倒すために使用された武器は？,火炎放射器,銀の弾丸,高圧電流,爆弾,C
50,ウルトラQ,ウルトラQの第26話「地底超特急西へ」で、地底に存在するエネルギー資源は？,ウラン鉱脈,原油,未知の鉱石,地熱,C
51,ウルトラQ,ウルトラQのエピソード「悪魔ッ子」で、サブロウの力を封じるために使用されたものは？,聖なる祈り,魔法の呪文,科学的な装置,特殊な音波,D
52,ウルトラQ,ウルトラQの第10話「東京氷河期」で、氷の怪物の名前は？,フリーザー,スノーゴリラ,ペギラ,アイストロン,C
53,ウルトラQ,ウルトラQのエピソード「1/8計画」で、主人公たちは最終的にどのようにして元の大きさに戻ったか？,科学者の手による実験,宇宙線の影響が逆転したため,自然に元に戻る,宇宙人の介入,A
54,ウルトラQ,ウルトラQの第29話「湖底の亡霊」で、湖底に眠っている怪物の名前は？,ネッシー,ゴメス,ガラモン,ジラース,A
55,ウルトラQ,ウルトラQのエピソード「南海の怒り」で、スダールはどのような形をしている？,巨大なトカゲ,巨大な魚,巨大な蛇,巨大なエビ,D
56,ウルトラQ,ウルトラQの第30話「バルンガ」で、バルンガの目的は何か？,地球侵略,エネルギーの吸収,宇宙の制覇,知的生命体の発見,B
57,ウルトラQ,ウルトラQのエピソード「ガラモンの逆襲」で、ガラモンを操作する存在は？,宇宙人,地球外の知的生命体,悪の組織,AIシステム,A
58,ウルトラQ,ウルトラQの第27話「変身」に登場する、変身能力を持つ生物の弱点は？,水,火,光,鉄,C
59,ウルトラQ,ウルトラQのエピソード「ゴメスを倒せ！」で、ゴメスを倒すために使用された兵器は何か？,原子砲,ミサイル,タンク,爆薬,B
60,ウルトラQ,ウルトラQの第31話「宇宙からの贈りもの」で、宇宙から届いた物体は何だった？,巨大な隕石,謎の球体,未知の金属,宇宙船の破片,B
61,ウルトラQ,ウルトラQのエピソード「変身」で、変身生物はどのようにして人々を襲ったか？,触手で締め付ける,毒液を吐く,幻覚を見せる,超音波で攻撃する,C
62,ウルトラQ,ウルトラQの第32話「巨人の星」で、巨人が目指していた目的地は？,東京タワー,月,太陽,地球の中心,C
63,ウルトラQ,ウルトラQのエピソード「2020年の挑戦」で、ケムール人が未来から来た目的は？,地球の資源を奪う,人類を滅ぼす,エネルギーを求めて,自分たちの星を救うため,D
64,ウルトラQ,ウルトラQの第33話「地下道の怪」で、地下道に出現した怪物の名前は？,ドラコ,グエムル,ケムール,ガラモン,A
65,ウルトラQ,ウルトラQのエピソード「宇宙指令M774」で、宇宙人が地球に求めたものは？,友好関係,科学技術,資源,人間のDNA,C
66,ウルトラQ,ウルトラQの第34話「空の贈り物」で、空から降ってきたものは何だった？,隕石,巨大な花,雨のような粒子,謎の生物,C
67,ウルトラQ,ウルトラQのエピソード「ゴーガの逆襲」で、ゴーガが持っていた特殊能力は？,透明になる,磁力を操る,光を放つ,瞬間移動,B
68,ウルトラQ,ウルトラQの第35話「バルンガの逆襲」で、バルンガが再び現れた理由は？,エネルギーを求めて,復讐心から,宇宙からの指令,自然現象の影響,A
69,ウルトラQ,ウルトラQのエピソード「1/8計画」で、1/8サイズになった人々はどのようにして元の大きさに戻ったか？,特殊な薬を使って,宇宙線を逆転させて,科学者の実験によって,自然に元に戻る,C
70,ウルトラQ,ウルトラQの第36話「湖底の亡霊」で、亡霊が現れた理由は？,呪われた湖,過去の戦争,宇宙からの影響,科学実験の失敗,B
71,ウルトラQ,ウルトラQのエピソード「南海の怒り」で、スダールが最後に向かった場所は？,火山の噴火口,海の底,大陸の中心,南極,A
72,ウルトラQ,ウルトラQの第37話「東京氷河期」で、氷河期の原因となったのは何か？,地球の自転速度の変化,大規模な火山活動,宇宙からの冷気,氷の怪物の活動,D
73,ウルトラQ,ウルトラQのエピソード「宇宙船の落下」で、宇宙船が地球に落下した原因は？,宇宙嵐,エンジントラブル,宇宙人の攻撃,重力異常,D
74,ウルトラQ,ウルトラQの第38話「悪魔のプリズム」で、悪魔のプリズムが持つ力は？,他者を操る力,瞬間移動の能力,人々の記憶を消す力,光を操る力,A
75,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵が狙っていた人物は誰か？,科学者,政治家,犯罪組織のボス,ヒロイン,D
76,ウルトラQ,ウルトラQの第39話「宇宙からの侵略者」で、侵略者たちの目的は何か？,地球の資源を奪う,人類を奴隷にする,宇宙の支配,宇宙船の修理,A
77,ウルトラQ,ウルトラQのエピソード「ゴーガの復活」で、ゴーガを復活させたのは誰か？,科学者,宇宙人,地球外生命体,古代の呪術師,B
78,ウルトラQ,ウルトラQの第40話「宇宙怪獣アンギラス」で、アンギラスの弱点は何か？,水,光,音波,氷,B
79,ウルトラQ,ウルトラQのエピソード「湖底の亡霊」で、亡霊が現れた場所はどこか？,湖の底,島の洞窟,沼地,山の頂上,A
80,ウルトラQ,ウルトラQの第41話「ダブル怪獣大戦争」で、ダブル怪獣の名前は何か？,ゴメスとガラモン,バルンガとペギラ,ゴーガとスダール,ネッシーとドラコ,B
81,ウルトラQ,ウルトラQのエピソード「悪魔のプリズム」で、プリズムの力を封じるために使われた方法は？,科学的装置,魔法の呪文,霊的儀式,高圧電流,A
82,ウルトラQ,ウルトラQの第42話「宇宙の怪物」で、宇宙から来た怪物が引き起こした問題は？,環境汚染,大地震,食料危機,氷河期の到来,A
83,ウルトラQ,ウルトラQのエピソード「クモ男爵」で、クモ男爵の真の姿は何か？,科学者の化身,古代の神,エイリアン,不老不死の魔物,C
84,ウルトラQ,ウルトラQの第43話「南海の怪物」で、南海の怪物が目指していたものは？,人類の支配,自己増殖,エネルギー源,古代の遺物,B
85,ウルトラQ,ウルトラQのエピソード「1/8計画」で、科学者が使用した縮小機はどのようにして開発された？,宇宙技術を応用して,古代の技術を復元して,環境調査中に発見した,実験の副産物として,D
86,ウルトラQ,ウルトラQの第44話「地底人の逆襲」で、地底人のリーダーが持っていた能力は？,超強力なビーム,地震を起こす能力,瞬間移動,心を操る能力,B
87,ウルトラQ,ウルトラQのエピソード「湖底の亡霊」で、湖底の亡霊が持っていた特徴は？,透明になる能力,水中での生活,高速で移動する,火を吹く,B
88,ウルトラQ,ウルトラQの第45話「宇宙からの贈りもの」で、宇宙からの贈り物が引き起こした事件は？,環境の崩壊,突如として現れる宇宙人,知的生命体の発見,科学技術の向上,B
89,ウルトラQ,ウルトラQのエピソード「宇宙の怪物」で、宇宙の怪物が最後にどのように倒されたか？,爆破によって,高圧電流で,宇宙からの援助で,自然に帰還,A
90,ウルトラQ,ウルトラQの第46話「東京氷河期」で、東京が氷河期から脱出する方法は？,科学者の研究による温暖化装置,自然に氷河期が終わるのを待つ,宇宙からの援助,地球規模の気候操作,A
91,ウルトラQ,ウルトラQのエピソード「悪魔ッ子」で、サブロウが持っていた能力は何か？,超人的な力,物体を操る力,精神的な支配,時間を操る力,C
92,ウルトラQ,ウルトラQの第47話「地下道の怪」で、地下道に現れた怪物が持っていた特徴は？,鋭い爪,高いジャンプ力,光を反射する体,超音波攻撃,D
93,ウルトラQ,ウルトラQのエピソード「ゴメスを倒せ！」で、ゴメスの弱点は何か？,熱,音,光,冷気,A
94,ウルトラQ,ウルトラQの第48話「空の贈り物」で、空から降ってきた物体の正体は？,宇宙人の通信機,宇宙からのメッセージ,未知の生物,高度なテクノロジーの機械,B
95,ウルトラQ,ウルトラQのエピソード「ゴーガの逆襲」で、ゴーガの能力を制御する装置は何か？,エネルギーシールド,磁気装置,高圧装置,氷の結界,B
96,ウルトラQ,ウルトラQの第49話「宇宙指令M774」で、宇宙指令の目的は？,地球の征服,科学技術の交換,宇宙資源の確保,友好関係の構築,A
97,ウルトラQ,ウルトラQのエピソード「湖底の亡霊」で、亡霊の正体は何か？,古代の怪物,昔の科学者,自然の精霊,外宇宙からの使者,A
98,ウルトラQ,ウルトラQの第50話「バルンガの逆襲」で、バルンガが引き起こした問題は？,環境破壊,人類の混乱,物理的な破壊,健康被害,C
99,ウルトラQ,. ウルトラQのエピソード「クモ男爵」で、クモ男爵が引き起こした事件は？,都市の崩壊,大規模な失踪事件,環境汚染,科学者の誘拐,B
100,ウルトラマン,ウルトラマン（1966年）の主人公であるウルトラマンの本名は？,タロウ,ゾフィー,スペシウム,ウルトラセブン,B
101,ウルトラマン,ウルトラマンの変身前の人間の名前は？,ハヤタシン,モロボシダン,ジャミラ,ケムール人,A
102,ウルトラマン,ウルトラマンの変身シーンで使用されるアイテムは？,スペシウム光線,ウルトラスパーク,ベータカプセル,ウルトラアイ,C
103,ウルトラマン,ウルトラマンが地球で初めて戦った怪獣は？,ゴモラ,バルタン星人,ダダ,ガボラ,B
104,ウルトラマン,ウルトラマンの敵で、宇宙から来た異星人であり、地球を支配しようとする悪党は？,ゴモラ,バルタン星人,ジャミラ,ダダ,B
105,ウルトラマン,ウルトラマンの能力で、放射線を放つ技の名前は？,スペシウム光線,バリア光線,ウルトラハリケーン,ストリウム光線,A
106,ウルトラマン,ウルトラマンのサポートをしている組織の名前は？,SSSP,TAC,GUTS,G隊,A
107,ウルトラマン,ウルトラマンが使用する防御技で、光の壁を作る技の名前は？,ウルトラバリア,エレクトロンバリア,ミラクルバリア,ウルトラシールド,A
108,ウルトラマン,ウルトラマンが地球で戦った初めての宇宙人の名前は？,バルタン星人,ゼットン,ジャミラ,ケムール人,A
109,ウルトラマン,ウルトラマンが初めて登場するエピソードのタイトルは？,「ウルトラ作戦第一号」,「バルタン星人」,「怪獣無宿」,「怪獣使いと少年」,A
110,ウルトラマン,ウルトラマンの変身アイテムで、普段は何に使われる道具の名前は？,ペンダント,時計,銃,指輪,B
111,ウルトラマン,ウルトラマンが力を借りるために、変身することができるのは何人まで？,1人,2人,3人,4人,A
112,ウルトラマン,ウルトラマンの変身に使用する「ベータカプセル」の色は？,青,赤,緑,黄,B
113,ウルトラマン,ウルトラマンが初めて戦った怪獣で、空中に飛び回る能力を持つ怪獣は？,ゼットン,ガラモン,ガボラ,ペギラ,C
114,ウルトラマン,ウルトラマンの特殊能力の一つで、瞬時に目標物を切断する技の名前は？,スペシウム光線,ウルトラスパーク,ウルトラバリア,ウルトラスパーク,B
115,ウルトラマン,ウルトラマンの「スペシウム光線」の発射方法は？,両手を上に上げて発射,両手を前に出して発射,片手を下に下げて発射,片手を振って発射,B
116,ウルトラマン,ウルトラマンが地球に降り立った理由は？,地球を守るため,科学調査のため,宇宙の冒険の一環,戦争の避けるため,A
117,ウルトラマン,ウルトラマンの宿敵で、宇宙から来たカメのような怪獣の名前は？,ガラモン,バルタン星人,ゼットン,ケムール人,D
118,ウルトラマン,ウルトラマンのサポートメンバーで、科学者として活躍するのは誰？,ハヤタシン,キリヤマ隊員,アマギ隊員,イデ隊員,D
119,ウルトラマン,ウルトラマンの「スペシウム光線」を発射する際に行う動作は？,両手を交差させる,両手を広げる,両手を組み合わせる,片手を前に出す,A
120,ウルトラマン,ウルトラマンのエピソード「ゴモラ」では、ゴモラが最初に出現した場所は？,都市,山,海,森,B
121,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人の得意技は？,空中浮遊,瞬間移動,巨大化,短期間での再生,B
122,ウルトラマン,ウルトラマンが地球で戦った怪獣で、洞窟に住む恐竜型の怪獣は？,ゴモラ,ペギラ,ジャミラ,ガラモン,A
123,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが引き起こした混乱は？,巨大な地震,突然の洪水,都市の崩壊,大規模な火災,C
124,ウルトラマン,ウルトラマンが戦う際に使用する、宇宙からのエネルギー源の名前は？,スペシウム,ゼットン,タロウ,ダダ,A
125,ウルトラマン,ウルトラマンが初めて登場するエピソードで、彼の変身前の姿はどんな職業に従事している？,消防士,科学者,警察官,軍人,C
126,ウルトラマン,ウルトラマンの「ウルトラスパーク」を使用するための準備動作は？,両手を交差させる,両手を開く,両手を胸の前で合わせる,両手を上に上げる,C
127,ウルトラマン,ウルトラマンが使用する「スペシウム光線」を放つ際に、ウルトラマンの体の色は？,赤,青,緑,黄色,A
128,ウルトラマン,ウルトラマンが最初に戦った怪獣で、海から出現する巨大な怪獣の名前は？,ゴモラ,ペギラ,ガラモン,ダダ,B
129,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人が地球に送り込んだ手下の名前は？,サボテン怪獣,クモ怪獣,蟹怪獣,ビル怪獣,C
130,ウルトラマン,ウルトラマンが「スペシウム光線」を放つ際に、両手をどうするか？,上に向ける,前に伸ばす,横に広げる,下に向ける,B
131,ウルトラマン,ウルトラマンのエピソード「怪獣使いと少年」で、少年が助けようとした怪獣の名前は？,ゴモラ,ダダ,バルタン星人,ジャミラ,D
132,ウルトラマン,ウルトラマンのサポートメンバーで、通信士として活躍するのは誰？,アマギ隊員,イデ隊員,ハヤタシン,キリヤマ隊員,A
133,ウルトラマン,ウルトラマンが変身後に「スカイハイヤー」を使用するのは何の目的？,敵を攻撃する,短距離で移動する,瞬時に体力を回復する,他の怪獣を探す,B
134,ウルトラマン,ウルトラマンの敵で、地球のエネルギーを吸収する能力を持つ怪獣は？,ゴモラ,ゼットン,ケムール人,バルタン星人,B
135,ウルトラマン,ウルトラマンが戦った怪獣で、体が金属のように硬い怪獣の名前は？,ゴモラ,ガラモン,ペギラ,バルタン星人,B
136,ウルトラマン,ウルトラマンのエピソード「ウルトラ作戦第一号」で、ウルトラマンが戦った怪獣の名前は？,バルタン星人,ゴモラ,ガラモン,ケムール人,A
137,ウルトラマン,ウルトラマンが使用する「ウルトラスパーク」の効果は？,物体を飛ばす,短時間で消失させる,相手を瞬時に消滅させる,磁力で操る,C
138,ウルトラマン,ウルトラマンのエピソード「ダダ」で、ダダの異常な行動は何によるもの？,強いエネルギー,環境の変化,他の宇宙人の指令,自己防衛本能,A
139,ウルトラマン,ウルトラマンが戦った怪獣で、宇宙から来た悪党であり、何度も地球に現れる怪獣は？,バルタン星人,ゼットン,ゴモラ,ガラモン,A
140,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが最初に出現した場所は？,都市,山,海,森,B
141,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人の目的は何か？,地球の資源を奪う,人類を滅ぼす,環境を浄化する,科学技術を強化する,A
142,ウルトラマン,ウルトラマンが使用する「ウルトラバリア」はどのように使用されるか？,空中で展開する,地面に設置する,体の周りに展開する,手のひらで展開する,C
143,ウルトラマン,ウルトラマンのエピソード「怪獣使いと少年」で、少年が怪獣に対して持っていた感情は？,恐怖,愛情,嫉妬,疑念,B
144,ウルトラマン,ウルトラマンの「スペシウム光線」を発射する際、どのようなポーズをとるか？,両手を交差させる,両手を横に広げる,両手を合わせる,片手を上に上げる,A
145,ウルトラマン,ウルトラマンのエピソード「ガラモン」で、ガラモンの攻撃方法は？,火を吹く,石を投げる,突進する,音波を発射する,B
146,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人が人間の姿に変わった理由は？,調査のため,隠れるため,捕獲するため,交渉のため,B
147,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが引き起こした問題は？,環境汚染,都市の崩壊,大規模な火災,自然災害,B
148,ウルトラマン,ウルトラマンのサポートメンバーで、科学技術を担当するのは誰？,ハヤタシン,イデ隊員,アマギ隊員,キリヤマ隊員,B
149,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人の特徴は？,透明になる,巨大化する,音を発する,光を放つ,A
150,ウルトラマン,ウルトラマンが戦った怪獣で、火を吹く能力を持つ怪獣は？,ゴモラ,ペギラ,ジャミラ,バルタン星人,B
151,ウルトラマン,ウルトラマンのエピソード「ダダ」で、ダダの特殊能力は？,瞬間移動,体を分裂させる,超音波を発する,超強力なビーム,B
152,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちの目的は？,地球を占拠する,自己増殖,環境を破壊する,人間を捕まえる,A
153,ウルトラマン,ウルトラマンが地球に降り立った理由は？,科学調査のため,環境保護のため,地球を守るため,宇宙からの使者として,C
154,ウルトラマン,ウルトラマンが戦った怪獣で、空を飛ぶ能力を持つ怪獣の名前は？,バルタン星人,ガラモン,ペギラ,ゴモラ,A
155,ウルトラマン,ウルトラマンのエピソード「ダダ」で、ダダが変身することができるものは？,宇宙船,巨大な怪獣,小さな怪獣,人間の姿,D
156,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人の主な攻撃方法は？,超音波,火炎放射,物体の操作,巨大化,C
157,ウルトラマン,ウルトラマンが使用する「ウルトラスパーク」はどのような効果を持つか？,巨大な爆発を引き起こす,短時間で移動する,物体を切断する,エネルギーを放出する,C
158,ウルトラマン,ウルトラマンのエピソード「ウルトラ作戦第一号」で、ウルトラマンと共に戦う隊員の名前は？,イデ隊員,アマギ隊員,キリヤマ隊員,ハヤタシン,D
159,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが活動する地域は？,都市,山,森,海,B
160,ウルトラマン,ウルトラマンが使用する「ウルトラバリア」の主な用途は？,防御,攻撃,瞬間移動,環境浄化,A
161,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人が攻撃する手段は？,短時間での再生,光線,火炎放射,電撃,B
162,ウルトラマン,ウルトラマンの変身後の姿で、特徴的な赤と銀の配色は？,アーマー,スーツ,コスチューム,ウェア,B
163,ウルトラマン,ウルトラマンが使用する「スペシウム光線」で、主に倒す相手は？,宇宙人,地球の怪獣,ほかのウルトラマン,地球外生命体,B
164,ウルトラマン,ウルトラマンのエピソード「ジャミラ」で、ジャミラの変身前の姿は？,医師,科学者,軍人,宇宙飛行士,D
165,ウルトラマン,ウルトラマンのサポートメンバーで、戦闘能力に優れる隊員の名前は？,ハヤタシン,イデ隊員,キリヤマ隊員,アマギ隊員,C
166,ウルトラマン,ウルトラマンのエピソード「ガラモン」で、ガラモンが住んでいる場所は？,都市,山,海,森,B
167,ウルトラマン,ウルトラマンが使用する「ウルトラスパーク」で、主な用途は？,短距離移動,瞬時の強化,攻撃,環境保護,C
168,ウルトラマン,ウルトラマンの変身アイテムで、普段はどこに保管されているか？,ベルト,ポケット,手袋,バッグ,A
169,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人の支配下にあった都市は？,東京,大阪,名古屋,横浜,A
170,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが攻撃する理由は？,地球の支配,食料の獲得,自己防衛,環境破壊,A
171,ウルトラマン,ウルトラマンのエピソード「ゼットン」で、ゼットンが持つ特技は？,瞬間移動,火を吹く,超音波,光線,D
172,ウルトラマン,ウルトラマンのサポートメンバーで、通信の役割を担うのは誰？,ハヤタシン,イデ隊員,アマギ隊員,キリヤマ隊員,C
173,ウルトラマン,ウルトラマンが使用する「ウルトラバリア」は、どのように展開されるか？,両手を開く,腕を振る,体の周りに展開,前に投げる,C
174,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人の目立つ特徴は？,変身能力,光線攻撃,透明になる能力,巨大化能力,C
175,ウルトラマン,ウルトラマンのエピソード「ジャミラ」で、ジャミラの姿に変わる前の職業は？,科学者,軍人,医師,技師,B
176,ウルトラマン,ウルトラマンが戦う際に使用する「スペシウム光線」の効果は？,短時間で消失させる,強力な光線で攻撃する,物体を固定する,体力を回復させる,B
177,ウルトラマン,ウルトラマンのエピソード「ダダ」で、ダダの特徴的な行動は？,分裂する,瞬間移動する,光線を発射する,火を吹く,A
178,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが最初に出現する場所は？,山,都市,森,海,B
179,ウルトラマン,ウルトラマンが変身するために使用するアイテムの名前は？,スペシウム光線,ベータカプセル,ウルトラアイ,ストリウム光線,B
180,ウルトラマン,ウルトラマンが使用する「ウルトラスパーク」で、主に攻撃する対象は？,怪獣,宇宙船,巨大な物体,人間,A
181,ウルトラマン,ウルトラマンのエピソード「ガラモン」で、ガラモンの主な攻撃方法は？,火を吹く,突進する,石を投げる,巨大化する,C
182,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人が地球に送り込んだ怪獣は？,ケムール人,ゴモラ,ジャミラ,ペギラ,D
183,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちが最初に出現した都市の名前は？,東京,大阪,名古屋,札幌,A
184,ウルトラマン,ウルトラマンが使用する「ウルトラスパーク」の技術はどのように発展した？,新技術の開発,宇宙からの贈り物,古代の遺物,戦闘中の即興技術,A
